"US_ISRM_id","src_h1","pol_abbr","ems_qty","ems_unit"
"964","nonpt","NH3",0.0155301,"ton/yr"
"964","np_oilgas","VOC",0.00360169,"ton/yr"
"965","afdust","PM25",0.0463225,"ton/yr"
"965","nonpt","PM25",0.188739,"ton/yr"
"965","nonpt","NOx",0.280542,"ton/yr"
"965","nonpt","SOx",0.0128152,"ton/yr"
"965","nonpt","VOC",1.81521,"ton/yr"
"965","nonpt","NH3",0.254178,"ton/yr"
"965","np_oilgas","VOC",0.000549062,"ton/yr"
"966","afdust","PM25",0.184231,"ton/yr"
"966","nonpt","PM25",0.0393433,"ton/yr"
"966","nonpt","NOx",0.128032,"ton/yr"
"966","nonpt","SOx",0.00407963,"ton/yr"
"966","nonpt","VOC",1.52831,"ton/yr"
"966","nonpt","NH3",0.0508036,"ton/yr"
"966","np_oilgas","VOC",0.00152351,"ton/yr"
"966","onroad","PM25",0.142085,"ton/yr"
"966","onroad","NOx",3.62885,"ton/yr"
"966","onroad","SOx",0.0156692,"ton/yr"
"966","onroad","VOC",1.13712,"ton/yr"
"966","onroad","NH3",0.112915,"ton/yr"
"967","afdust","PM25",0.468448,"ton/yr"
"967","nonpt","PM25",0.169385,"ton/yr"
"967","nonpt","NOx",1.50355,"ton/yr"
"967","nonpt","SOx",0.100956,"ton/yr"
"967","nonpt","VOC",6.46235,"ton/yr"
"967","nonpt","NH3",0.0400859,"ton/yr"
"967","np_oilgas","VOC",0.0295899,"ton/yr"
"967","rwc","PM25",0.258202,"ton/yr"
"967","rwc","NOx",0.0201468,"ton/yr"
"967","rwc","SOx",0.00309813,"ton/yr"
"967","rwc","VOC",0.109184,"ton/yr"
"967","rwc","NH3",0.00768965,"ton/yr"
"968","afdust","PM25",0.00771562,"ton/yr"
"968","ag","NH3",2.88854,"ton/yr"
"968","agfire","PM25",0.0302088,"ton/yr"
"968","agfire","NOx",0.0229131,"ton/yr"
"968","agfire","SOx",0.000550813,"ton/yr"
"968","agfire","VOC",0.0252603,"ton/yr"
"968","agfire","NH3",0.00345832,"ton/yr"
"968","nonpt","PM25",0.0296273,"ton/yr"
"968","nonpt","NOx",0.321916,"ton/yr"
"968","nonpt","SOx",0.00572686,"ton/yr"
"968","nonpt","VOC",1.47104,"ton/yr"
"968","nonpt","NH3",0.138766,"ton/yr"
"968","np_oilgas","VOC",0.0105874,"ton/yr"
"969","afdust","PM25",0.144375,"ton/yr"
"969","nonpt","PM25",0.0888674,"ton/yr"
"969","nonpt","NOx",0.2574,"ton/yr"
"969","nonpt","SOx",0.0132525,"ton/yr"
"969","nonpt","VOC",1.98763,"ton/yr"
"969","nonpt","NH3",0.0579523,"ton/yr"
"969","np_oilgas","VOC",0.00365862,"ton/yr"
"969","rail","PM25",0.00463238,"ton/yr"
"969","rail","NOx",0.132767,"ton/yr"
"969","rail","SOx",0.000084225,"ton/yr"
"969","rail","VOC",0.0133549,"ton/yr"
"969","rail","NH3",0.0000258318,"ton/yr"
"969","rwc","PM25",0.481651,"ton/yr"
"969","rwc","NOx",0.0410129,"ton/yr"
"969","rwc","SOx",0.00660834,"ton/yr"
"969","rwc","VOC",0.243372,"ton/yr"
"969","rwc","NH3",0.00690837,"ton/yr"
"970","afdust","PM25",0.120112,"ton/yr"
"970","nonpt","PM25",0.0458098,"ton/yr"
"970","nonpt","NOx",0.397085,"ton/yr"
"970","nonpt","SOx",0.00963111,"ton/yr"
"970","nonpt","VOC",2.06679,"ton/yr"
"970","nonpt","NH3",0.163591,"ton/yr"
"970","np_oilgas","VOC",0.0154973,"ton/yr"
"970","onroad","PM25",0.0502521,"ton/yr"
"970","onroad","NOx",1.44381,"ton/yr"
"970","onroad","SOx",0.00578428,"ton/yr"
"970","onroad","VOC",0.488663,"ton/yr"
"970","onroad","NH3",0.0408583,"ton/yr"
"970","rail","PM25",0.0424756,"ton/yr"
"970","rail","NOx",1.21737,"ton/yr"
"970","rail","SOx",0.000772282,"ton/yr"
"970","rail","VOC",0.122455,"ton/yr"
"970","rail","NH3",0.000236858,"ton/yr"
"971","afdust","PM25",1.95111,"ton/yr"
"971","ag","NH3",33.894,"ton/yr"
"971","agfire","PM25",0.354469,"ton/yr"
"971","agfire","NOx",0.268861,"ton/yr"
"971","agfire","SOx",0.00646321,"ton/yr"
"971","agfire","VOC",0.296403,"ton/yr"
"971","agfire","NH3",0.0405797,"ton/yr"
"971","nonpt","PM25",0.490789,"ton/yr"
