"US_ISRM_id","pol_abbr","ems_qty","ems_unit"
"1010","NH3",147.147,"ton/yr"
"1011","PM25",0.0274035,"ton/yr"
"1011","NOx",0.230639,"ton/yr"
"1011","SOx",0.002523,"ton/yr"
"1011","VOC",0.533081,"ton/yr"
"1011","NH3",0.109214,"ton/yr"
"1012","PM25",0.607116,"ton/yr"
"1012","NOx",2.62546,"ton/yr"
"1012","SOx",0.0202854,"ton/yr"
"1012","VOC",4.1478,"ton/yr"
"1012","NH3",0.396453,"ton/yr"
"1013","PM25",5.44546,"ton/yr"
"1013","NOx",20.7019,"ton/yr"
"1013","SOx",0.163514,"ton/yr"
"1013","VOC",31.4849,"ton/yr"
"1013","NH3",2.24786,"ton/yr"
"1014","PM25",1.13551,"ton/yr"
"1014","NOx",28.0814,"ton/yr"
"1014","SOx",0.199489,"ton/yr"
"1014","VOC",2.25186,"ton/yr"
"1014","NH3",0.0183256,"ton/yr"
"1015","PM25",0.272198,"ton/yr"
"1015","NOx",2.13211,"ton/yr"
"1015","SOx",0.0166853,"ton/yr"
"1015","VOC",2.56548,"ton/yr"
"1015","NH3",0.186896,"ton/yr"
"1016","PM25",7.46567,"ton/yr"
"1016","NOx",42.6742,"ton/yr"
"1016","SOx",0.25858,"ton/yr"
"1016","VOC",31.4054,"ton/yr"
"1016","NH3",2.88394,"ton/yr"
"1017","PM25",1.94439,"ton/yr"
"1017","NOx",11.2706,"ton/yr"
"1017","SOx",0.0874391,"ton/yr"
"1017","VOC",13.5876,"ton/yr"
"1017","NH3",1.18581,"ton/yr"
"1018","PM25",2.22172,"ton/yr"
"1018","NOx",10.9951,"ton/yr"
"1018","SOx",0.12199,"ton/yr"
"1018","VOC",14.709,"ton/yr"
"1018","NH3",1.17227,"ton/yr"
"1019","PM25",8.42513,"ton/yr"
"1019","NOx",74.4598,"ton/yr"
"1019","SOx",0.529116,"ton/yr"
"1019","VOC",50.554,"ton/yr"
"1019","NH3",4.99177,"ton/yr"
"1020","PM25",1.10938,"ton/yr"
"1020","NOx",7.48648,"ton/yr"
"1020","SOx",0.151204,"ton/yr"
"1020","VOC",7.15494,"ton/yr"
"1020","NH3",0.598101,"ton/yr"
"1021","PM25",25.4824,"ton/yr"
"1021","NOx",114.805,"ton/yr"
"1021","SOx",1.91116,"ton/yr"
"1021","VOC",135.664,"ton/yr"
"1021","NH3",15.4279,"ton/yr"
"1022","PM25",61.9463,"ton/yr"
