isrm,PrimaryPM25,NO3,NH4,SO4,SOA,TotalPM25,Total,White,Black,Native_American,Asian,Pacific_Islander,Other,Multiple,Hispanic,White non hispanic,geometry,Area,DeathsK,DeathsK_White,DeathsK_Asian,DeathsK_Black,DeathsK_Hispanic,Pop_density,DeathsK_per,DeathsK_area,TotalPM_area,Black_per,Asian_per,Hispanic_per
973,0.531648935,0.19801689,1.307304624,0.022534493,0.129834674,2.189339616,9371,0.878134671,64,72,136,20,546,304,1215,7014,"POLYGON ((-122.7809949 38.41989657, -122.7939227 38.45461902000001, -122.8382553 38.44448185000002, -122.8253077 38.40976442000002, -122.7809949 38.41989657))",16.00000106,1.122723485,0.985902418,0.016293927,0.007667731,0.145567072,585.687461,0.000119808,0.070170213,0.136833717,0.006829581,0.014512859,0.12965532
974,0.464590507,0.196940204,1.276407124,0.024158927,0.113555065,2.075651827,4991,0.886996594,34,56,59,6,232,177,659,3768,"POLYGON ((-122.7939227 38.45461902000001, -122.8068631 38.48934025000001, -122.8512155 38.47919807, -122.8382553 38.44448185000002, -122.7939227 38.45461902000001))",16.00000257,0.566724076,0.502682325,0.006699403,0.003860673,0.074828925,311.9374499,0.000113549,0.035420249,0.129728218,0.006812262,0.011821278,0.132037668
975,0.441483161,0.200422795,1.302583066,0.024512157,0.117440894,2.086442074,7996,0.885567784,54,83,112,12,336,318,915,6166,"POLYGON ((-122.8068631 38.48934025000001, -122.8198161 38.52406026000001, -122.8641883 38.51391305999999, -122.8512155 38.47919807, -122.8068631 38.48934025000001))",15.99999901,0.912688094,0.808247173,0.012784025,0.006163726,0.104440921,499.7500311,0.000114143,0.057043009,0.130402638,0.006753377,0.014007004,0.114432216
976,0.438551006,0.193842902,1.259432852,0.024645732,0.119225279,2.035697771,19397,0.7855854,101,319,208,33,2784,714,5087,10151,"POLYGON ((-122.8198161 38.52406026000001, -122.8327818 38.55877902000002, -122.8771739 38.54862681000001, -122.8641883 38.51391305999999, -122.8198161 38.52406026000001))",16.00001731,2.159865959,1.696759163,0.023160907,0.011246402,0.566440075,1212.311189,0.000111351,0.134991476,0.127230973,0.005206991,0.010723308,0.26225705
977,0.626282259,0.079886462,0.186446901,0.060294832,0.151741134,1.104651588,4850,0.740618557,94,41,487,33,256,347,853,2739,"POLYGON ((-122.4824479 37.64085554999998, -122.4856077 37.64954239999999, -122.4965788 37.64703979000001, -122.4934179 37.63835325999999, -122.4824479 37.64085554999998))",1.000002846,0.292257826,0.21645157,0.029346301,0.005664378,0.051401222,4849.986196,6.03E-05,0.292256995,1.104648444,0.019381443,0.100412371,0.175876289
978,0.692794535,0.083431814,0.190813397,0.060314121,0.159853573,1.18720744,1537,0.630448926,50,14,322,2,82,98,313,656,"POLYGON ((-122.4856077 37.64954239999999, -122.4887682 37.65822918, -122.4997406 37.65572626999998, -122.4965788 37.64703979000001, -122.4856077 37.64954239999999))",1.000001864,0.099564414,0.062770278,0.020858648,0.00323892,0.020275642,1536.997135,6.48E-05,0.099564228,1.187205227,0.032530904,0.209499024,0.203643461
979,0.797140618,0.097464458,0.203196547,0.058254805,0.178974383,1.335030812,21,0.619047619,0,0,5,1,0,2,3,10,"POLYGON ((-122.4887682 37.65822918, -122.4919295 37.66691592000001, -122.5029031 37.66441269000001, -122.4997406 37.65572626999998, -122.4887682 37.65822918))",1.000004937,0.001530388,0.000947383,0.000364378,0,0.000218627,20.99989633,7.29E-05,0.00153038,1.335024221,0,0.238095238,0.142857143
980,0.717192869,0.097958826,0.201419029,0.058254358,0.175848793,1.250673875,,,,,,,,,,,"POLYGON ((-122.4919295 37.66691592000001, -122.4950916 37.6756026, -122.5060664 37.67309906000001, -122.5029031 37.66441269000001, -122.4919295 37.66691592000001))",1.000004633,,,,,,,,,1.25066808,,,
981,0.689055625,0.112171807,0.198102676,0.058326593,0.18304113,1.240697831,,,,,,,,,,,"POLYGON ((-122.4950916 37.6756026, -122.4982544 37.68428922, -122.5092304 37.68178536999999, -122.5060664 37.67309906000001, -122.4950916 37.6756026))",1.000001218,,,,,,,,,1.24069632,,,
982,0.684959003,0.111744957,0.197446167,0.058335082,0.182013761,1.234498971,,,,,,,,,,,"POLYGON ((-122.4982544 37.68428922, -122.501418 37.69297578999999, -122.5123952 37.69047162999997, -122.5092304 37.68178536999999, -122.4982544 37.68428922))",1.000001287,,,,,,,,,1.234497383,,,
